Summary Level	Geographic Component	State FIPS	Place FIPS	County FIPS	Tract	Zip	Block	Name	Latitude	Longitude
160	00	06	60984					Rio Vista city	38.163913	-121.695849
160	00	06	61026					Ripon city	37.740478	-121.128224
160	00	06	61068					Riverbank city	37.731272	-120.943653
160	00	06	61096					Riverdale CDP	36.430799	-119.862121
160	00	06	61106					Riverdale Park CDP	37.611054	-121.043786
160	00	06	62000					Riverside city	33.948065	-117.396127
160	00	06	62364					Rocklin city	38.800011	-121.246731
160	00	06	62490					Rodeo CDP	38.031271	-122.262139
160	00	06	62546					Rohnert Park city	38.347174	-122.695378
160	00	06	62602					Rolling Hills city	33.759350	-118.341550
160	00	06	62644					Rolling Hills Estates city	33.773738	-118.360788
160	00	06	62700					Rollingwood CDP	37.965573	-122.331416
160	00	06	62756					Romoland CDP	33.745783	-117.174228
160	00	06	62826					Rosamond CDP	34.865786	-118.206856
160	00	06	62854					Rosedale CDP	35.392600	-119.194488
160	00	06	62868					Roseland CDP	38.421491	-122.725974
160	00	06	62896					Rosemead city	34.070428	-118.082312
160	00	06	62910					Rosemont CDP	38.549506	-121.356211
160	00	06	62938					Roseville city	38.752434	-121.289338
160	00	06	62980					Ross town	37.962673	-122.558090
160	00	06	63050					Rossmoor CDP	33.788917	-118.079721
160	00	06	63134					Round Mountain CDP	40.799633	-121.943058
160	00	06	63148					Round Valley CDP	37.414643	-118.597830
160	00	06	63218					Rowland Heights CDP	33.980962	-117.889791
160	00	06	63260					Rubidoux CDP	33.995814	-117.418266
160	00	06	63316					Running Springs CDP	34.207739	-117.108285
160	00	06	64000					Sacramento city	38.555605	-121.468926
160	00	06	64140					St. Helena city	38.502858	-122.469648
160	00	06	64210					Salida CDP	37.709877	-121.089286
160	00	06	64224					Salinas city	36.683859	-121.643128
160	00	06	64294					Salton City CDP	33.298601	-115.959575
160	00	06	64308					Salton Sea Beach CDP	33.375007	-116.012506
160	00	06	64420					San Andreas CDP	38.195815	-120.678085
160	00	06	64434					San Anselmo town	37.980073	-122.568123
160	00	06	64462					San Antonio Heights CDP	34.153008	-117.661433
160	00	06	64476					San Ardo CDP	36.020333	-120.904859
160	00	06	65000					San Bernardino city	34.129510	-117.293150
160	00	06	65028					San Bruno city	37.625288	-122.425266
160	00	06	65042					San Buenaventura (Ventura) city	34.275242	-119.228048
160	00	06	65070					San Carlos city	37.499187	-122.263278
160	00	06	65084					San Clemente city	33.437828	-117.620397
160	00	06	65112					Sand City city	36.614759	-121.850060
160	00	06	66000					San Diego city	32.779541	-117.146344
160	00	06	66004					San Diego Country Estates CDP	33.002636	-116.799005
160	00	06	66070					San Dimas city	34.102908	-117.816249
160	00	06	66140					San Fernando city	34.287251	-118.438836
160	00	06	67000					San Francisco city	37.759881	-122.437392
160	00	06	67042					San Gabriel city	34.094176	-118.098449
160	00	06	67056					Sanger city	36.704250	-119.558771
160	00	06	67070					San Geronimo CDP	38.012322	-122.666094
160	00	06	67112					San Jacinto city	33.787119	-116.966672
160	00	06	67126					San Joaquin city	36.607060	-120.191365
160	00	06	67143					San Joaquin Hills CDP	33.612357	-117.836691
160	00	06	68000					San Jose city	37.304051	-121.872734
